Time #1 (s),Signal #1-24-48Hz Frequency Power,Time #2 (s),Signal #2-24-48Hz Frequency Power
0,NaN,0,38.3738514089198
1,151.231022434104,1,138.879318730473
2,213.409261407587,2,91.5245810941792
3,204.529375176238,3,59.4014153923621
4,692.162063807755,4,53.1901638042524
5,393.080138047152,5,100.27888639239
6,491.998257486452,6,288.165307281554
7,570.047135447808,7,287.091628885809
8,777.850230474898,8,219.737909600099
9,504.337514842622,9,148.61437615355
10,841.194074066772,10,130.21649870679
11,863.305015370615,11,156.39398430494
12,368.338981393553,12,173.77512768085
13,474.757761039075,13,158.956393551754
14,336.011963181862,14,309.572345731746
15,445.161307651208,15,93.5878347579927
16,201.669633427125,16,130.36730549793
17,184.562311350848,17,147.540316143914
18,89.5633483979522,18,110.614252047856
19,430.905197417979,19,128.64481146655
20,588.532766225368,20,81.3258308674401
21,262.37347714687,21,282.056098707789
22,132.162240838666,22,183.779915820257
23,205.643224604254,23,132.511359530407
24,267.512297983194,24,200.850958362417
25,210.313731081751,25,145.846477528243
26,324.972978914021,26,125.076210452287
27,234.663682872481,27,138.000741486053
28,155.158241408591,28,154.424461394981
29,762.608054229113,29,174.556651573788
30,714.877471910868,30,159.427803451979
31,564.854205191089,31,119.806763078163
32,470.679935869563,32,255.045861383505
33,482.070916179162,33,335.161927594028
34,423.77870016957,34,295.001923930621
35,238.398361167856,35,147.363196825088
36,166.734117121237,36,187.659509473792
37,632.626235208378,37,123.262641762461
38,498.919532154076,38,191.306138651674
39,291.472904678014,39,229.217403913279
40,413.039922976089,40,168.041854931545
41,346.505192294063,41,213.237652363339
42,282.508143038112,42,167.436879020757
43,263.942242721081,43,300.890989070002
44,237.506863710688,44,255.967032591864
45,192.770148758387,45,222.421991821638
46,495.950524119791,46,156.604940552251
47,250.719673960204,47,256.788358767721
48,388.774720412888,48,340.647451607631
49,331.513354345601,49,335.382379086523
50,487.517180543469,50,281.23701385257
51,460.169677265663,51,162.070511075659
52,261.183129348879,52,144.341560214988
53,190.447017515087,53,323.639251129527
54,296.288106344695,54,358.158957287651
55,232.206961850659,55,347.705869854333
56,188.020027475452,56,383.88382662659
57,391.240389705571,57,308.579871601186
58,417.715104006486,58,401.046700444344
